30-01-2017,-100,Deliveroo
30-01-2017,-50,Tesco
01-02-2017,6000,Salary
02-02-2017,2000,Royalties
02-02-2017,-4000,Rent
03-02-2017,3000,Tesco
04-02-2017,-3000,Shopping
05-02-2017,-30,Cinema
15-03-2017,1500,Freelance
25-03-2017,-1200,Car Insurance
10-04-2017,-500,Internet Bill
12-04-2017,4500,Salary
01-05-2017,3000,Freelance
15-05-2017,-1000,Groceries
20-06-2017,-300,Utilities
05-07-2017,5000,Salary
10-07-2017,-1000,Shopping
01-08-2017,-2000,Travel
05-08-2017,2500,Freelance
10-09-2017,-1500,Car Loan
01-10-2017,7000,Salary
10-11-2017,-400,Entertainment
25-12-2017,-3000,Shopping
